drive_file_id,drive_path,file_name,extension,top_folder,ipc_folder,patent_id_guess,source_url
1x5wvwPq7vwkRKWSz3M59o7dQlH2EKKDj,extracted_texts/G06F/1020080137371.txt,1020080137371.txt,txt,extracted_texts,G06F,1020080137371,https://drive.google.com/file/d/1x5wvwPq7vwkRKWSz3M59o7dQlH2EKKDj/view
1RO9jYhWfNCCtnubZu7mF45QbeNdd1bvR,extracted_texts/G06F/1020087021561.txt,1020087021561.txt,txt,extracted_texts,G06F,1020087021561,https://drive.google.com/file/d/1RO9jYhWfNCCtnubZu7mF45QbeNdd1bvR/view
1r3w3kVnxnTLGI-doVG_uyelFotox2ZuQ,extracted_texts/G06F/1020097002237.txt,1020097002237.txt,txt,extracted_texts,G06F,1020097002237,https://drive.google.com/file/d/1r3w3kVnxnTLGI-doVG_uyelFotox2ZuQ/view
1DoRe4kI2gg4xTHMN8ppk99d2GH-eZY0_,extracted_texts/G06F/1020097023628.txt,1020097023628.txt,txt,extracted_texts,G06F,1020097023628,https://drive.google.com/file/d/1DoRe4kI2gg4xTHMN8ppk99d2GH-eZY0_/view
1-0gsYPw8rFW2RR_dEEk-GudwqMM9_s7h,extracted_texts/G06F/1020100012456.txt,1020100012456.txt,txt,extracted_texts,G06F,1020100012456,https://drive.google.com/file/d/1-0gsYPw8rFW2RR_dEEk-GudwqMM9_s7h/view
1gdNpTj4ygCaUyF95biXNrQTij6-FpzRC,extracted_texts/G06F/1020100033703.txt,1020100033703.txt,txt,extracted_texts,G06F,1020100033703,https://drive.google.com/file/d/1gdNpTj4ygCaUyF95biXNrQTij6-FpzRC/view
18IurgCnx8411yr6RRqVkIbktMUv8olUu,extracted_texts/G06F/1020107008865.txt,1020107008865.txt,txt,extracted_texts,G06F,1020107008865,https://drive.google.com/file/d/18IurgCnx8411yr6RRqVkIbktMUv8olUu/view
1Xu1jA6sQGi1YIBYp0q37lpOUkSLbFx5j,extracted_texts/G06F/1020110097739.txt,1020110097739.txt,txt,extracted_texts,G06F,1020110097739,https://drive.google.com/file/d/1Xu1jA6sQGi1YIBYp0q37lpOUkSLbFx5j/view
1BTPurK7GCPL2d6NR9tgaZtiAWMddaU0K,extracted_texts/G06F/1020110106492.txt,1020110106492.txt,txt,extracted_texts,G06F,1020110106492,https://drive.google.com/file/d/1BTPurK7GCPL2d6NR9tgaZtiAWMddaU0K/view
16YIZFt8Sj3kl4FvpCmeN5ScsZY0vpUzU,extracted_texts/G06F/1020117002469.txt,1020117002469.txt,txt,extracted_texts,G06F,1020117002469,https://drive.google.com/file/d/16YIZFt8Sj3kl4FvpCmeN5ScsZY0vpUzU/view
1gmUO9eLvrFnLWvZOKFRarJTFBCkaZd1y,extracted_texts/G06F/1020117016711.txt,1020117016711.txt,txt,extracted_texts,G06F,1020117016711,https://drive.google.com/file/d/1gmUO9eLvrFnLWvZOKFRarJTFBCkaZd1y/view
13sH6EEVZ2jPVlmeOt7mjpnQWy8XbFHk_,extracted_texts/G06F/1020117018607.txt,1020117018607.txt,txt,extracted_texts,G06F,1020117018607,https://drive.google.com/file/d/13sH6EEVZ2jPVlmeOt7mjpnQWy8XbFHk_/view
1KxqXlgKPM8Iwd6VT96iePLD6nM0LAKB8,extracted_texts/G06F/1020120121549.txt,1020120121549.txt,txt,extracted_texts,G06F,1020120121549,https://drive.google.com/file/d/1KxqXlgKPM8Iwd6VT96iePLD6nM0LAKB8/view
1HhbwQBhRPbEPJlKIQWHpghZ_2T79dxXu,extracted_texts/G06F/1020130042378.txt,1020130042378.txt,txt,extracted_texts,G06F,1020130042378,https://drive.google.com/file/d/1HhbwQBhRPbEPJlKIQWHpghZ_2T79dxXu/view
1DX3ABcM2t-8-qNmPTkMXCb6fRVJutt5l,extracted_texts/G06F/1020130103252.txt,1020130103252.txt,txt,extracted_texts,G06F,1020130103252,https://drive.google.com/file/d/1DX3ABcM2t-8-qNmPTkMXCb6fRVJutt5l/view
17AzSchsiDPutkBuawbBB-9CZ4U6pE52a,extracted_texts/G06F/1020130123902.txt,1020130123902.txt,txt,extracted_texts,G06F,1020130123902,https://drive.google.com/file/d/17AzSchsiDPutkBuawbBB-9CZ4U6pE52a/view
1286clxUnYKv0PDWZ1537ya1mcVI2qj4R,extracted_texts/G06F/1020130164153.txt,1020130164153.txt,txt,extracted_texts,G06F,1020130164153,https://drive.google.com/file/d/1286clxUnYKv0PDWZ1537ya1mcVI2qj4R/view
1u8nUs9MIXvpXMMLSb3EX3DWQKwMb9zLR,extracted_texts/G06F/1020137020101.txt,1020137020101.txt,txt,extracted_texts,G06F,1020137020101,https://drive.google.com/file/d/1u8nUs9MIXvpXMMLSb3EX3DWQKwMb9zLR/view
1NOCkICBzov3fpSl-8tK6_XRv6NlPYOq2,extracted_texts/G06F/1020140153875.txt,1020140153875.txt,txt,extracted_texts,G06F,1020140153875,https://drive.google.com/file/d/1NOCkICBzov3fpSl-8tK6_XRv6NlPYOq2/view
1koRn9_vykry7PHC2YaT1n4Kx28A7R-Qr,extracted_texts/G06F/1020147031233.txt,1020147031233.txt,txt,extracted_texts,G06F,1020147031233,https://drive.google.com/file/d/1koRn9_vykry7PHC2YaT1n4Kx28A7R-Qr/view
1tIPeoJ0R0rOrohTiXTrTotGlV16uVUF6,extracted_texts/G06F/1020147031950.txt,1020147031950.txt,txt,extracted_texts,G06F,1020147031950,https://drive.google.com/file/d/1tIPeoJ0R0rOrohTiXTrTotGlV16uVUF6/view
1EJTH4Q6tSEzOBajoiAwv59-fyUs4asNi,extracted_texts/G06F/1020147034720.txt,1020147034720.txt,txt,extracted_texts,G06F,1020147034720,https://drive.google.com/file/d/1EJTH4Q6tSEzOBajoiAwv59-fyUs4asNi/view
